label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Circle,88,52,38,32,image_10.jpg,128,128
Triangle,29,55,12,25,image_10.jpg,128,128
Circle,32,23,24,27,image_11.jpg,128,128
Triangle,29,68,12,28,image_11.jpg,128,128
Triangle,25,67,9,28,image_11.jpg,128,128
Square,78,20,10,26,image_11.jpg,128,128
Square,85,25,21,22,image_11.jpg,128,128
Square,81,19,22,10,image_11.jpg,128,128
Circle,13,63,32,54,image_12.jpg,128,128
Circle,82,51,31,53,image_12.jpg,128,128
Square,39,16,47,98,image_13.jpg,128,128
Circle,1,1,78,126,image_14.jpg,128,128
Square,5,4,30,36,image_15.jpg,128,128
Circle,47,34,44,77,image_16.jpg,128,128
Circle,38,44,20,30,image_17.jpg,128,128
Circle,106,5,19,29,image_17.jpg,128,128
Triangle,61,44,18,31,image_17.jpg,128,128
Square,61,4,11,29,image_17.jpg,128,128
Circle,58,92,15,13,image_18.jpg,128,128
Triangle,100,28,12,12,image_18.jpg,128,128
Triangle,94,28,9,13,image_18.jpg,128,128
Square,53,30,10,12,image_18.jpg,128,128
Circle,58,78,13,13,image_19.jpg,128,128
Circle,24,61,14,11,image_19.jpg,128,128
Circle,85,69,7,6,image_19.jpg,128,128
Triangle,44,82,8,12,image_19.jpg,128,128
Triangle,51,82,9,11,image_19.jpg,128,128
Triangle,49,59,9,9,image_19.jpg,128,128
Triangle,57,58,9,9,image_19.jpg,128,128
Triangle,108,96,11,9,image_19.jpg,128,128
Triangle,80,98,7,9,image_19.jpg,128,128
Square,25,86,11,11,image_19.jpg,128,128
Circle,59,46,11,12,image_2.jpg,128,128
Circle,2,1,125,124,image_2.jpg,128,128
Square,16,17,92,93,image_20.jpg,128,128
Triangle,10,11,106,91,image_21.jpg,128,128
Triangle,23,15,93,92,image_22.jpg,128,128
Triangle,8,8,112,105,image_23.jpg,128,128
Circle,6,4,16,17,image_24.jpg,128,128
Circle,31,4,17,16,image_24.jpg,128,128
Circle,79,29,19,18,image_24.jpg,128,128
Triangle,4,31,21,15,image_24.jpg,128,128
Triangle,77,4,23,17,image_24.jpg,128,128
Triangle,101,29,23,17,image_24.jpg,128,128
Triangle,77,76,24,18,image_24.jpg,128,128
Triangle,55,52,15,20,image_24.jpg,128,128
Triangle,26,78,27,15,image_24.jpg,128,128
Square,6,54,18,17,image_24.jpg,128,128
Circle,7,3,15,18,image_25.jpg,128,128
Circle,31,3,16,18,image_25.jpg,128,128
Circle,80,29,18,18,image_25.jpg,128,128
Triangle,4,32,22,15,image_25.jpg,128,128
Triangle,78,4,22,18,image_25.jpg,128,128
Triangle,100,30,25,16,image_25.jpg,128,128
Triangle,80,78,19,15,image_25.jpg,128,128
Triangle,55,52,16,19,image_25.jpg,128,128
Triangle,26,78,27,15,image_25.jpg,128,128
Square,5,54,21,18,image_25.jpg,128,128
Circle,6,26,13,14,image_26.jpg,128,128
Circle,6,7,13,15,image_26.jpg,128,128
Circle,62,8,13,14,image_26.jpg,128,128
Circle,63,25,13,15,image_26.jpg,128,128
Triangle,83,27,7,13,image_26.jpg,128,128
Triangle,78,26,7,15,image_26.jpg,128,128
Triangle,83,8,7,14,image_26.jpg,128,128
Triangle,79,9,5,14,image_26.jpg,128,128
Triangle,36,110,9,14,image_26.jpg,128,128
Triangle,32,110,11,8,image_26.jpg,128,128
Square,108,53,6,10,image_26.jpg,128,128
Square,47,10,7,13,image_26.jpg,128,128
Square,47,50,7,13,image_26.jpg,128,128
Square,45,29,10,14,image_26.jpg,128,128
Triangle,21,25,88,76,image_27.jpg,128,128
Circle,23,63,15,11,image_28.jpg,128,128
Triangle,22,77,16,8,image_28.jpg,128,128
Circle,22,85,11,4,image_28.jpg,128,128
Square,22,52,16,9,image_28.jpg,128,128
Square,21,32,14,9,image_28.jpg,128,128
Square,17,27,31,74,image_29.jpg,128,128
Circle,20,90,17,14,image_3.jpg,128,128
Triangle,53,24,40,22,image_3.jpg,128,128
Triangle,49,105,26,20,image_3.jpg,128,128
Triangle,44,108,19,19,image_3.jpg,128,128
Circle,100,48,16,16,image_30.jpg,128,128
Circle,81,81,7,7,image_30.jpg,128,128
Circle,81,90,6,6,image_30.jpg,128,128
Triangle,34,71,22,22,image_30.jpg,128,128
Square,81,45,19,24,image_30.jpg,128,128
Square,10,77,16,14,image_30.jpg,128,128
Circle,50,92,26,26,image_31.jpg,128,128
Circle,41,74,16,7,image_31.jpg,128,128
Circle,101,47,25,24,image_31.jpg,128,128
Circle,82,18,18,9,image_31.jpg,128,128
Circle,48,21,13,15,image_31.jpg,128,128
Circle,48,12,18,15,image_31.jpg,128,128
Circle,40,17,15,15,image_31.jpg,128,128
Circle,98,95,22,10,image_31.jpg,128,128
Triangle,1,3,18,15,image_31.jpg,128,128
Triangle,5,0,16,9,image_31.jpg,128,128
Triangle,25,5,9,16,image_31.jpg,128,128
Triangle,103,5,23,14,image_31.jpg,128,128
Triangle,4,74,17,22,image_31.jpg,128,128
Triangle,24,88,20,13,image_31.jpg,128,128
Triangle,3,101,16,16,image_31.jpg,128,128
Triangle,19,102,28,13,image_31.jpg,128,128
Circle,22,76,19,19,image_32.jpg,128,128
Circle,84,102,22,21,image_32.jpg,128,128
Circle,103,9,17,8,image_32.jpg,128,128
Circle,73,10,25,10,image_32.jpg,128,128
Circle,74,25,21,9,image_32.jpg,128,128
Circle,100,25,23,9,image_32.jpg,128,128
Circle,5,100,21,9,image_32.jpg,128,128
Triangle,67,38,20,41,image_32.jpg,128,128
Triangle,96,77,19,20,image_32.jpg,128,128
Triangle,40,100,16,25,image_32.jpg,128,128
Triangle,27,98,15,27,image_32.jpg,128,128
Triangle,45,75,24,23,image_32.jpg,128,128
Triangle,37,45,20,28,image_32.jpg,128,128
Triangle,38,39,22,18,image_32.jpg,128,128
Triangle,51,49,16,20,image_32.jpg,128,128
Triangle,82,43,16,32,image_32.jpg,128,128
Square,4,15,25,22,image_32.jpg,128,128
Circle,55,14,45,27,image_33.jpg,128,128
Circle,6,9,28,55,image_34.jpg,128,128
Circle,37,9,27,54,image_34.jpg,128,128
Circle,65,10,27,53,image_34.jpg,128,128
Circle,95,10,26,53,image_34.jpg,128,128
Circle,94,65,30,53,image_34.jpg,128,128
Circle,66,65,27,53,image_34.jpg,128,128
Circle,35,65,28,53,image_34.jpg,128,128
Circle,6,65,28,53,image_34.jpg,128,128
Triangle,40,80,19,31,image_34.jpg,128,128
Triangle,102,18,13,39,image_34.jpg,128,128
Square,99,71,18,40,image_34.jpg,128,128
Triangle,51,54,10,20,image_35.jpg,128,128
Triangle,59,55,13,17,image_35.jpg,128,128
Triangle,59,46,11,10,image_35.jpg,128,128
Square,56,56,23,33,image_35.jpg,128,128
Circle,17,69,12,16,image_36.jpg,128,128
Circle,17,101,12,16,image_36.jpg,128,128
Circle,77,5,12,16,image_36.jpg,128,128
Circle,16,40,13,12,image_36.jpg,128,128
Circle,58,100,9,14,image_36.jpg,128,128
Triangle,98,45,11,13,image_36.jpg,128,128
Triangle,107,37,6,17,image_36.jpg,128,128
Triangle,98,36,10,12,image_36.jpg,128,128
Triangle,63,11,8,12,image_36.jpg,128,128
Triangle,56,4,8,12,image_36.jpg,128,128
Square,58,69,12,16,image_36.jpg,128,128
Square,99,4,10,14,image_36.jpg,128,128
Circle,2,19,17,24,image_4.jpg,128,128
Circle,1,47,29,30,image_4.jpg,128,128
Triangle,83,55,31,26,image_4.jpg,128,128
Triangle,55,62,38,32,image_4.jpg,128,128
Triangle,10,80,23,35,image_4.jpg,128,128
Square,19,6,32,33,image_4.jpg,128,128
Circle,65,53,11,11,image_5.jpg,128,128
Circle,4,4,121,122,image_5.jpg,128,128
Triangle,12,3,105,116,image_6.jpg,128,128
Circle,0,2,128,126,image_7.jpg,128,128
Circle,15,15,94,91,image_8.jpg,128,128
Circle,55,87,22,11,image_9.jpg,128,128
Circle,55,17,23,14,image_9.jpg,128,128
